event_id,shipment_id,order_id,status,occurred_at,location,note
EVT-030,SHP-010,ORD-010,delivered,2026-08-16T14:05:00Z,合成华南节点,
EVT-031,SHP-011,ORD-011,shipped,2026-08-17T09:00:00Z,合成华北节点,
EVT-032,SHP-011,ORD-011,out_for_delivery,2026-08-18T20:00:00Z,合成华北节点,
EVT-033,SHP-011,ORD-011,delivered,2026-08-19T14:05:00Z,合成华北节点,
EVT-034,SHP-012,ORD-012,shipped,2026-08-20T09:00:00Z,合成华东节点,
EVT-035,SHP-012,ORD-012,out_for_delivery,2026-08-21T20:00:00Z,合成华东节点,
EVT-036,SHP-012,ORD-012,delivered,2026-08-22T14:05:00Z,合成华东节点,
EVT-037,SHP-013,ORD-013,shipped,2026-08-10T09:00:00Z,合成华南节点,
EVT-038,SHP-013,ORD-013,out_for_delivery,2026-08-11T20:00:00Z,合成华南节点,
EVT-039,SHP-013,ORD-013,delivered,2026-08-12T14:05:00Z,合成华南节点,
EVT-040,SHP-014,ORD-014,shipped,2026-08-13T09:00:00Z,合成华北节点,
EVT-041,SHP-014,ORD-014,out_for_delivery,2026-08-14T20:00:00Z,合成华北节点,
EVT-042,SHP-014,ORD-014,delivered,2026-08-15T14:05:00Z,合成华北节点,
EVT-043,SHP-015,ORD-015,shipped,2026-08-16T09:00:00Z,合成华东节点,
EVT-044,SHP-015,ORD-015,out_for_delivery,2026-08-17T20:00:00Z,合成华东节点,
EVT-045,SHP-015,ORD-015,delivered,2026-08-18T14:05:00Z,合成华东节点,
EVT-046,SHP-016,ORD-016,shipped,2026-08-19T09:00:00Z,合成华南节点,
EVT-047,SHP-016,ORD-016,out_for_delivery,2026-08-20T20:00:00Z,合成华南节点,
EVT-048,SHP-016,ORD-016,delivered,2026-08-21T14:05:00Z,合成华南节点,
EVT-049,SHP-017,ORD-017,shipped,2026-08-22T09:00:00Z,合成华北节点,
EVT-050,SHP-017,ORD-017,out_for_delivery,2026-08-23T20:00:00Z,合成华北节点,
EVT-051,SHP-017,ORD-017,delivered,2026-08-24T14:05:00Z,合成华北节点,
EVT-052,SHP-018,ORD-018,shipped,2026-08-12T09:00:00Z,合成华东节点,
EVT-053,SHP-018,ORD-018,out_for_delivery,2026-08-13T20:00:00Z,合成华东节点,
EVT-054,SHP-018,ORD-018,delivered,2026-08-14T14:05:00Z,合成华东节点,
EVT-055,SHP-019,ORD-019,shipped,2026-08-15T09:00:00Z,合成华南节点,
EVT-056,SHP-019,ORD-019,out_for_delivery,2026-08-16T20:00:00Z,合成华南节点,
EVT-057,SHP-019,ORD-019,delivered,2026-08-17T14:05:00Z,合成华南节点,
EVT-058,SHP-020,ORD-020,shipped,2026-08-18T09:00:00Z,合成华北节点,
EVT-059,SHP-020,ORD-020,out_for_delivery,2026-08-19T20:00:00Z,合成华北节点,
EVT-060,SHP-020,ORD-020,delivered,2026-08-20T14:05:00Z,合成华北节点,
EVT-061,SHP-021,ORD-021,shipped,2026-08-21T09:00:00Z,合成华东节点,
EVT-062,SHP-021,ORD-021,out_for_delivery,2026-08-22T20:00:00Z,合成华东节点,
EVT-063,SHP-021,ORD-021,delivered,2026-08-23T14:05:00Z,合成华东节点,
EVT-064,SHP-022,ORD-022,shipped,2026-08-11T09:00:00Z,合成华南节点,
EVT-065,SHP-022,ORD-022,out_for_delivery,2026-08-12T20:00:00Z,合成华南节点,
EVT-066,SHP-022,ORD-022,in_transit,2026-08-13T14:05:00Z,合成华南节点,
EVT-067,SHP-023,ORD-023,shipped,2026-08-14T09:00:00Z,合成华北节点,
EVT-068,SHP-023,ORD-023,in_transit,2026-08-15T20:00:00Z,合成华北节点,
EVT-069,SHP-023,ORD-023,in_transit,2026-08-16T14:05:00Z,合成华北节点,
EVT-070,SHP-024,ORD-024,shipped,2026-08-17T09:00:00Z,合成华东节点,
EVT-071,SHP-024,ORD-024,in_transit,2026-08-18T20:00:00Z,合成华东节点,
EVT-072,SHP-024,ORD-024,in_transit,2026-08-19T14:05:00Z,合成华东节点,
EVT-073,SHP-025,ORD-025,shipped,2026-08-20T09:00:00Z,合成华南节点,
EVT-074,SHP-025,ORD-025,in_transit,2026-08-21T20:00:00Z,合成华南节点,
EVT-075,SHP-025,ORD-025,in_transit,2026-08-22T14:05:00Z,合成华南节点,
EVT-076,SHP-026,ORD-026,shipped,2026-08-10T09:00:00Z,合成华北节点,
EVT-077,SHP-026,ORD-026,in_transit,2026-08-11T20:00:00Z,合成华北节点,
EVT-078,SHP-026,ORD-026,in_transit,2026-08-12T14:05:00Z,合成华北节点,
EVT-079,SHP-027,ORD-027,shipped,2026-08-13T09:00:00Z,合成华东节点,
EVT-080,SHP-027,ORD-027,in_transit,2026-08-14T20:00:00Z,合成华东节点,
EVT-081,SHP-027,ORD-027,in_transit,2026-08-15T14:05:00Z,合成华东节点,
EVT-082,SHP-028,ORD-028,shipped,2026-08-16T09:00:00Z,合成华南节点,
EVT-083,SHP-028,ORD-028,in_transit,2026-08-17T20:00:00Z,合成华南节点,
EVT-084,SHP-028,ORD-028,in_transit,2026-08-18T14:05:00Z,合成华南节点,
EVT-085,SHP-029,ORD-029,shipped,2026-08-19T09:00:00Z,合成华北节点,
EVT-086,SHP-029,ORD-029,in_transit,2026-08-20T20:00:00Z,合成华北节点,
EVT-087,SHP-029,ORD-029,in_transit,2026-08-21T14:05:00Z,合成华北节点,
EVT-088,SHP-030,ORD-030,shipped,2026-08-22T09:00:00Z,合成华东节点,
EVT-089,SHP-030,ORD-030,in_transit,2026-08-23T20:00:00Z,合成华东节点,
EVT-090,SHP-030,ORD-030,in_transit,2026-08-24T14:05:00Z,合成华东节点,
EVT-091,SHP-031,ORD-031,shipped,2026-08-12T09:00:00Z,合成华南节点,
EVT-092,SHP-031,ORD-031,in_transit,2026-08-13T20:00:00Z,合成华南节点,
EVT-093,SHP-031,ORD-031,in_transit,2026-08-14T14:05:00Z,合成华南节点,
EVT-094,SHP-032,ORD-032,shipped,2026-08-15T09:00:00Z,合成华北节点,
EVT-095,SHP-032,ORD-032,in_transit,2026-08-16T20:00:00Z,合成华北节点,
EVT-096,SHP-032,ORD-032,in_transit,2026-08-17T14:05:00Z,合成华北节点,
EVT-097,SHP-033,ORD-033,shipped,2026-08-18T09:00:00Z,合成华东节点,
EVT-098,SHP-033,ORD-033,in_transit,2026-08-19T20:00:00Z,合成华东节点,
EVT-099,SHP-033,ORD-033,in_transit,2026-08-20T14:05:00Z,合成华东节点,
EVT-100,SHP-034,ORD-034,shipped,2026-08-21T09:00:00Z,合成华南节点,
EVT-101,SHP-034,ORD-034,in_transit,2026-08-22T20:00:00Z,合成华南节点,
EVT-102,SHP-034,ORD-034,in_transit,2026-08-23T14:05:00Z,合成华南节点,
EVT-103,SHP-035,ORD-035,shipped,2026-08-11T09:00:00Z,合成华北节点,
EVT-104,SHP-035,ORD-035,in_transit,2026-08-12T20:00:00Z,合成华北节点,
EVT-105,SHP-035,ORD-035,in_transit,2026-08-13T14:05:00Z,合成华北节点,
EVT-106,SHP-036,ORD-035,shipped,2026-08-11T09:00:00Z,合成华北节点,
EVT-107,SHP-036,ORD-035,in_transit,2026-08-12T20:00:00Z,合成华北节点,
EVT-108,SHP-036,ORD-035,in_transit,2026-08-13T14:05:00Z,合成华北节点,
EVT-109,SHP-037,ORD-036,shipped,2026-08-14T09:00:00Z,合成华东节点,
EVT-110,SHP-037,ORD-036,in_transit,2026-08-15T20:00:00Z,合成华东节点,
EVT-111,SHP-038,ORD-036,shipped,2026-08-14T09:00:00Z,合成华东节点,
EVT-112,SHP-038,ORD-036,in_transit,2026-08-15T20:00:00Z,合成华东节点,
EVT-113,SHP-039,ORD-037,shipped,2026-08-17T09:00:00Z,合成华南节点,
EVT-114,SHP-039,ORD-037,in_transit,2026-08-18T20:00:00Z,合成华南节点,
EVT-115,SHP-040,ORD-037,shipped,2026-08-17T09:00:00Z,合成华南节点,
EVT-116,SHP-040,ORD-037,in_transit,2026-08-18T20:00:00Z,合成华南节点,
EVT-117,SHP-041,ORD-038,shipped,2026-08-20T09:00:00Z,合成华北节点,
EVT-118,SHP-041,ORD-038,in_transit,2026-08-21T20:00:00Z,合成华北节点,
EVT-119,SHP-042,ORD-038,shipped,2026-08-20T09:00:00Z,合成华北节点,
EVT-120,SHP-042,ORD-038,in_transit,2026-08-21T20:00:00Z,合成华北节点,
EVT-121,SHP-043,ORD-039,shipped,2026-08-10T09:00:00Z,合成华东节点,
EVT-122,SHP-043,ORD-039,delivered,2026-08-12T14:05:00Z,合成华东节点,
EVT-123,SHP-044,ORD-039,shipped,2026-08-10T09:00:00Z,合成华东节点,
EVT-124,SHP-044,ORD-039,in_transit,2026-08-28T08:00:00Z,合成华东节点,
EVT-125,SHP-045,ORD-039,shipped,2026-08-10T09:00:00Z,合成华东节点,
EVT-126,SHP-045,ORD-039,stalled,2026-08-20T08:00:00Z,合成华东节点,
EVT-127,SHP-046,ORD-040,shipped,2026-08-13T09:00:00Z,合成华南节点,
EVT-128,SHP-046,ORD-040,in_transit,2026-08-14T20:00:00Z,合成华南节点,
EVT-129,SHP-047,ORD-040,shipped,2026-08-13T09:00:00Z,合成华南节点,
EVT-130,SHP-047,ORD-040,in_transit,2026-08-14T20:00:00Z,合成华南节点,
EVT-131,SHP-048,ORD-040,shipped,2026-08-13T09:00:00Z,合成华南节点,
EVT-132,SHP-048,ORD-040,in_transit,2026-08-14T20:00:00Z,合成华南节点,
